BookingID,FlightID,PassengerID,Status,BookingDate,SeatNumber,SeatClass,PaymentID,CreatedDateTime,LastupdateDateTime
B001,6E6117,P1,Complete,9/22/2025,1A,First,PYMT01,9/22/2025 7:00,9/22/2025 7:00
B002,6E6117,P4,Complete,9/22/2025,1D,First,PYMT02,9/22/2025 7:00,9/22/2025 7:00
B003,6E6117,P5,Complete,9/22/2025,20C,Economy,PYMT03,9/22/2025 7:00,9/22/2025 7:00
B004,6E6117,P6,Complete,9/23/2025,11D,Economy,PYMT04,9/23/2025 7:00,9/23/2025 7:00
B005,6E6117,P9,Complete,9/23/2025,30A,Economy,PYMT05,9/23/2025 7:00,9/23/2025 7:00
B006,6E6117,P11,Complete,9/23/2025,12A,Economy,PYMT06,9/23/2025 7:00,9/23/2025 7:00
B007,6E6117,P12,Complete,9/23/2025,13A,Economy,PYMT07,9/23/2025 7:00,9/23/2025 7:00
B008,6E6117,P13,Complete,8/22/2025,14C,Economy,PYMT08,8/22/2025 7:00,8/22/2025 7:00
B009,6E6117,P14,Complete,8/22/2025,15B,Economy,PYMT09,8/22/2025 7:00,8/22/2025 7:00
B010,6E6117,P15,Complete,8/22/2025,20A,Economy,PYMT10,8/22/2025 7:00,8/22/2025 7:00
B011,6E6117,P1,Complete,8/22/2025,1A,First,PYMT11,8/22/2025 7:00,8/22/2025 7:00
B012,6E6117,P4,Complete,8/22/2025,1D,First,PYMT12,8/22/2025 7:00,8/22/2025 7:00
B013,6E6117,P8,Complete,8/22/2025,1C,First,PYMT13,8/22/2025 7:00,8/22/2025 7:00
B014,6E6117,P1,Complete,8/23/2025,1A,First,PYMT14,8/23/2025 7:00,8/23/2025 7:00
B015,6E6117,P4,Complete,8/23/2025,1D,First,PYMT15,8/23/2025 7:00,8/23/2025 7:00
B016,SG1080,P1,Complete,9/22/2025,1A,First,PYMT16,9/22/2025 7:00,9/22/2025 7:00
B017,SG1080,P4,Complete,9/22/2025,1D,First,PYMT17,9/22/2025 7:00,9/22/2025 7:00
B018,SG1080,P5,Complete,9/22/2025,20C,Economy,PYMT18,9/22/2025 7:00,9/22/2025 7:00
B019,SG1080,P6,Complete,9/23/2025,11D,Economy,PYMT19,9/23/2025 7:00,9/23/2025 7:00
B020,SG1080,P9,Complete,9/23/2025,30A,Economy,PYMT20,9/23/2025 7:00,9/23/2025 7:00
B021,SG1080,P11,Complete,9/23/2025,12A,Economy,PYMT21,9/23/2025 7:00,9/23/2025 7:00
B022,SG1080,P12,Complete,9/23/2025,13A,Economy,PYMT22,9/23/2025 7:00,9/23/2025 7:00
B023,SG1080,P13,Complete,8/22/2025,14C,Economy,PYMT23,8/22/2025 7:00,8/22/2025 7:00
B024,SG1080,P14,Complete,8/22/2025,15B,Economy,PYMT24,8/22/2025 7:00,8/22/2025 7:00
B025,SG1080,P15,Complete,8/22/2025,20A,Economy,PYMT25,8/22/2025 7:00,8/22/2025 7:00
B026,SG1080,P1,Complete,8/22/2025,1A,First,PYMT26,8/22/2025 7:00,8/22/2025 7:00
B027,SG1080,P4,Complete,8/22/2025,1D,First,PYMT27,8/22/2025 7:00,8/22/2025 7:00
B028,SG1080,P8,Complete,8/22/2025,1C,First,PYMT28,8/22/2025 7:00,8/22/2025 7:00
B029,SG1080,P1,Complete,8/23/2025,1A,First,PYMT29,8/23/2025 7:00,8/23/2025 7:00
B030,SG1080,P4,Complete,8/23/2025,1D,First,PYMT30,8/23/2025 7:00,8/23/2025 7:00
